artists,name,danceability,energy,popularity,year
"['Luis Fonsi', 'Daddy Yankee', 'Justin Bieber']",Despacito - Remix,0.688,0.812,20,2019
"['Disclosure', 'Eliza Doolittle', 'Flume']",You & Me - Flume Remix,0.591,0.479,24,2019
"['Liam Payne', 'Quavo']",Strip That Down,0.873,0.495,21,2019
['DMX'],Party Up,0.53,0.907,18,2019
['Maroon 5'],Wait,0.6579999999999999,0.603,21,2019
"['Kungs', ""Cookin' On 3 Burners""]",This Girl - Kungs Vs. Cookin' On 3 Burners,0.7909999999999999,0.706,21,2019
"['Loud Luxury', 'Bryce Vine']",I'm Not Alright,0.875,0.858,62,2019
['Black Eyed Peas'],I Gotta Feeling,0.7440000000000001,0.597,21,2019
['Cut Copy'],Lights & Music,0.604,0.935,17,2019
['Hailee Steinfeld'],Most Girls,0.76,0.569,20,2019
"['Mike Posner', 'Seeb']",I Took A Pill In Ibiza - Seeb Remix,0.6709999999999999,0.7240000000000001,21,2019
"['Jax Jones', 'Ina Wroldsen']",Breathe,0.722,0.731,20,2019
['Big Sean'],Dance (A$$),0.765,0.695,17,2019
"['Kid Cudi', 'MGMT', 'Ratatat', 'Steve Aoki']",Pursuit Of Happiness - Extended Steve Aoki Remix (Explicit),0.721,0.687,29,2019
"['Havana Brown', 'Pitbull']",We Run The Night,0.695,0.833,20,2019
['Imagine Dragons'],Thunder,0.608,0.7659999999999999,23,2019
"['Duke Dumont', 'Jax Jones']",I Got U,0.6609999999999999,0.7609999999999999,22,2019
"['Crazibiza', 'eSQUIRE', 'Kings']",Waiting For - 2019 Remix,0.775,0.745,0,2019
"['Avicii', 'Sandro Cavazza']",Without You,0.657,0.83,22,2019
"['Kevin Rudolf', 'Lil Wayne']",Let It Rock,0.618,0.7559999999999999,20,2019
['Space Motion'],Requiem for a Dream,0.713,0.8,16,2019
"['Topic', 'A7S']",Breaking Me,0.789,0.72,89,2019
"['Yotto', 'Monkey Safari']",Turn It Around - Monkey Safari Remix,0.662,0.6759999999999999,8,2019
['Eli & Fur'],Into The Night,0.701,0.851,8,2019
['Lane 8'],Feld,0.5579999999999999,0.759,6,2019
"['boerd', 'Stella Explorer']",Before We Drown,0.636,0.574,7,2019
"['Jody Wisternoff', 'James Grant']",Dapple,0.629,0.846,7,2019
"['Marsh', 'Wassu']",Like You,0.772,0.8490000000000001,11,2019
['Cubicolor'],Points Beyond,0.6629999999999999,0.71,10,2019
['Machine Gun Kelly'],why are you here,0.5589999999999999,0.889,71,2019
"['Nox Vahn', 'Marsh', 'Mimi Page']",Follow Me,0.6779999999999999,0.732,8,2019
"['Cubicolor', 'Adam Port']",No Dancers - Adam Port Remix,0.735,0.8740000000000001,9,2019
['CRi'],Initial,0.736,0.8440000000000001,5,2019
"['Moon Boots', 'Black Gatsby', 'Alex Metric']",Whisper In The Wind - Alex Metric Remix,0.688,0.94,7,2019
"['Ben BÃ¶hmer', 'Fritz Kalkbrenner']",Rye,0.6659999999999999,0.735,7,2019
"['Blanche', 'Gorje Hewek', 'Izhevski']",City Lights - Gorje Hewek & Izhevski Remix,0.784,0.7490000000000001,9,2019
['Nox Vahn'],Brainwasher,0.8140000000000001,0.795,6,2019
['Luttrell'],Into Clouds,0.45899999999999996,0.8340000000000001,6,2019
"[""Santa's Bag""]",Happy New Year,0.48200000000000004,0.38799999999999996,0,2019
['DJ X-Change'],New Years Eve Ultimate Countdown 2020,0.62,0.475,8,2019
['Secretto'],Tan Bella y Tan Presumida,0.743,0.503,68,2019
['Amrita Dixit'],Happy New Year 2017,0.769,0.976,0,2019
['Chill Out 2018'],Same Time Next Year,0.518,0.62,0,2019
['YOASOBI'],å¤œã«é§†ã‘ã‚‹,0.67,0.8740000000000001,81,2019
['4Tu'],Mary and Chris must give to all a happy new year (Merry christmas 2019 and happy 2020),0.7170000000000001,0.733,0,2019
['niko-qÃ©e'],Claws,0.544,0.35600000000000004,0,2019
['niko-qÃ©e'],SFT,0.539,0.44299999999999995,0,2019
['niko-qÃ©e'],Winter,0.6679999999999999,0.223,0,2019
['The Casino Royal'],Sweet Disgrace,0.395,0.172,0,2019
['niko-qÃ©e'],Dagger,0.479,0.14,0,2019
['niko-qÃ©e'],Beautiful temp,0.568,0.19,0,2019
"['niko-qÃ©e', 'Hotopix']",Some sort of Illness,0.603,0.27,0,2019
['Harry Styles'],Falling,0.5670000000000001,0.267,87,2019
['niko-qÃ©e'],Twenty-one (21),0.6970000000000001,0.294,0,2019
['ABBA'],Happy New Year,0.506,0.39299999999999996,11,2019
['niko-qÃ©e'],Beta,0.631,0.0425,0,2019
['niko-qÃ©e'],Lights,0.601,0.379,0,2019
['Pink Floyd'],A New Machine Part 1 - 2019 remix [Live],0.245,0.361,28,2019
['niko-qÃ©e'],Grand Piano,0.46,0.222,0,2019
['niko-qÃ©e'],Noname,0.6579999999999999,0.434,0,2019
['The Casino Royal'],Secret Road,0.475,0.23,0,2019
['Pink Floyd'],A New Machine Part 1 - Remix 2019,0.163,0.0368,29,2019
['Pink Floyd'],A New Machine Part 2 - Remix 2019,0.326,0.0803,28,2019
"['Free Nationals', 'Chronixx']",Eternal Light,0.7929999999999999,0.465,66,2019
['Pink Floyd'],A New Machine Part 2 - 2019 remix [Live],0.326,0.313,28,2019
['Harry Styles'],To Be So Lonely,0.758,0.436,75,2019
['Harry Styles'],Cherry,0.53,0.512,78,2019
['niko-qÃ©e'],April,0.40399999999999997,0.268,0,2019
"['Planet Perfecto Knights', 'Maurice West']",ResuRection - Maurice West Remix,0.738,0.7070000000000001,19,2019
['Inayah'],Best Thing,0.7120000000000001,0.469,64,2019
['Armin van Buuren'],A State Of Trance Year Mix 2019 (Mixed) - Outro: Class Dismissed,0.616,0.507,15,2019
['The Casino Royal'],Cold Morning,0.20600000000000002,0.48700000000000004,0,2019
['The Casino Royal'],Let's Shoot This Night,0.5379999999999999,0.564,0,2019
"['Free Nationals', 'Mac Miller', 'Kali Uchis']",Time,0.469,0.7709999999999999,65,2019
['The Casino Royal'],Why Can't We Go Away,0.556,0.585,0,2019
['niko-qÃ©e'],Helt op til loftet,0.713,0.48100000000000004,0,2019
['The Casino Royal'],Life Is Waiting For You,0.614,0.706,0,2019
['Pink Floyd'],The Great Gig In the Sky - 2019 remix [Live],0.261,0.447,28,2019
['niko-qÃ©e'],dec / year 2014,0.7090000000000001,0.258,0,2019
['Pink Floyd'],Round and Around - Remix 2019,0.392,0.131,32,2019
['niko-qÃ©e'],War Drums,0.5,0.8,0,2019
['The Casino Royal'],Another Sunday Morning,0.507,0.423,0,2019
['Pink Floyd'],Wish You Were Here - 2019 remix [Live],0.44799999999999995,0.366,32,2019
['Pink Floyd'],Learning to Fly - Remix 2019,0.517,0.57,38,2019
['The Casino Royal'],Vous Maimez,0.34299999999999997,0.629,0,2019
['Armin van Buuren'],A State Of Trance Year Mix 2019 (Mixed) - Intro: Music Lesson with Mr. Briggs,0.539,0.575,22,2019
['Harry Styles'],Canyon Moon,0.603,0.621,74,2019
"['MaRLo', 'Feenixpawl']",Lighter Than Air,0.359,0.669,12,2019
['The Casino Royal'],Femme Fatale,0.613,0.799,0,2019
['Pink Floyd'],The Dogs of War - Remix 2019,0.256,0.473,32,2019
"['Free Nationals', 'Daniel Caesar', 'Unknown Mortal Orchestra']",Beauty & Essex,0.552,0.741,64,2019
['The Casino Royal'],Gino Ragazzo Bravo,0.387,0.5479999999999999,0,2019
['Pink Floyd'],Signs of Life - Remix 2019,0.2,0.281,32,2019
"['BUMKEY', 'Yang Da Il', 'Kebee', 'Kanto', 'KittiB', 'Vincent Blue', 'Yenjamin', 'GREE']",LOOK GOOD,0.7120000000000001,0.8320000000000001,18,2019
['Pink Floyd'],Shine On You Crazy Diamond (Parts 1-5) - 2019 remix [Live],0.249,0.555,33,2019
['The Casino Royal'],"My Guys, You And I",0.72,0.768,0,2019
"['Rotimi', 'Wale']",In My Bed,0.637,0.501,75,2019
['Pink Floyd'],One Slip - Remix 2019,0.568,0.5660000000000001,31,2019
['Harry Styles'],Golden,0.44799999999999995,0.838,88,2019
['The Casino Royal'],Electric Bambolina,0.353,0.532,0,2019
"['Rauw Alejandro', 'Chencho Corleone', 'KEVVO', 'Bryant Myers', 'Lyanno', 'Dalex']",El Efecto - Remix,0.7709999999999999,0.769,79,2019
['Harry Styles'],Fine Line,0.306,0.34700000000000003,78,2019
['The Casino Royal'],Giallo,0.473,0.602,0,2019
['Pink Floyd'],One Slip - 2019 remix [Live],0.547,0.857,26,2019
"['Kanto', 'AB6IX', 'Kang Min Hee', 'YODAYOUNG', 'BDC']",MELTING,0.738,0.9329999999999999,26,2019
['The Casino Royal'],You Will Give Me That Kiss,0.7509999999999999,0.5920000000000001,0,2019
['The Casino Royal'],I'm Looking Back,0.23600000000000002,0.5429999999999999,0,2019
['Pink Floyd'],On the Run - 2019 remix [Live],0.276,0.634,26,2019
['Harry Styles'],Treat People With Kindness,0.653,0.8690000000000001,75,2019
['Pink Floyd'],Signs of Life - 2019 remix [Live],0.156,0.18899999999999997,30,2019
['Harry Styles'],Watermelon Sugar,0.5479999999999999,0.816,91,2019
['Pink Floyd'],Us and Them - 2019 remix [Live],0.344,0.392,26,2019
['The Casino Royal'],My Moon,0.545,0.5920000000000001,0,2019
"['Blake Shelton', 'Gwen Stefani']",Nobody But You (Duet with Gwen Stefani),0.46299999999999997,0.653,71,2019
"['DÃ­melo Flow', 'Arcangel', 'Sech']",Sigues Con El,0.883,0.6679999999999999,80,2019
"['Parmalee', 'Blanco Brown']",Just the Way,0.426,0.8290000000000001,72,2019
"['DJ Hooligan', 'Graham Bell']",Hear You Now - Graham Bell 2019 Remix,0.47600000000000003,0.782,13,2019
['Pink Floyd'],Sorrow - 2019 remix [Live],0.371,0.7040000000000001,29,2019
['Pink Floyd'],The Dogs of War - 2019 remix [Live],0.21899999999999997,0.6709999999999999,28,2019
"['Markus Schulz', 'HALIENE']",Ave Maria (Mixed),0.503,0.6659999999999999,20,2019
['Gareth Emery'],Laserface 03 (Leaving You),0.486,0.9209999999999999,9,2019
['Pink Floyd'],Round and Around - 2019 remix [Live],0.27699999999999997,0.46,28,2019
"['Luke Bond', 'Tyler Graves']",Left Of Us,0.47700000000000004,0.7859999999999999,8,2019
"['Paul van Dyk', 'Vini Vici']",Galaxy (Mixed),0.5489999999999999,0.902,21,2019
['The Casino Royal'],I Can't Get Free,0.46399999999999997,0.506,0,2019
['Pink Floyd'],Run Like Hell - 2019 remix [Live],0.319,0.92,26,2019
['Pink Floyd'],Yet Another Movie - Remix 2019,0.298,0.406,30,2019
"['Omnia', 'Whiteout']",U,0.507,0.883,10,2019
['Pink Floyd'],Learning to Fly - 2019 remix [Live],0.314,0.652,29,2019
['niko-qÃ©e'],J-Dag,0.5820000000000001,0.581,0,2019
['Harry Styles'],Lights Up,0.575,0.621,80,2019
['The Casino Royal'],Mon ChÃ©ri Don't Go - Disco Version,0.534,0.7609999999999999,0,2019
"['Armin van Buuren', 'Luke Bond', 'Karra']",Revolution,0.317,0.977,9,2019
['niko-qÃ©e'],Go Hard,0.613,0.542,0,2019
['Andrew Bayer'],Magitek,0.563,0.8690000000000001,13,2019
['le Shuuk'],Hey Mister! 2014 - Radio Edit,0.858,0.8370000000000001,0,2019
