artists,name,danceability,energy,popularity,year
['James Bay'],Let It Go,0.546,0.311,73,2014
['Samuel E. Wright'],Kiss the Girl - Remastered 2014,0.67,0.235,58,2014
"[""D'Angelo""]",Really Love,0.638,0.395,57,2014
['La Arrolladora Banda El LimÃ³n De Rene Camacho'],Ya Te PerdÃ­ La Fe,0.757,0.512,69,2014
"['Nicki Minaj', 'Jeremih']",Favorite,0.672,0.5720000000000001,51,2014
"['Nicki Minaj', 'BeyoncÃ©']",Feeling Myself,0.564,0.703,67,2014
"['Nicki Minaj', 'Drake', 'Lil Wayne', 'Chris Brown']",Only,0.573,0.495,68,2014
"['Nicki Minaj', 'Ariana Grande']",Get On Your Knees,0.653,0.445,53,2014
['Kevin Gates'],Sit Down,0.753,0.83,54,2014
"['Nicki Minaj', 'Skylar Grey']",Bed Of Lies,0.715,0.67,52,2014
"['ILOVEMAKONNEN', 'Drake']",Tuesday (feat. Drake),0.77,0.664,55,2014
"['French Montana', 'Jeremih']",Bad B*tch,0.706,0.621,56,2014
['Charli XCX'],Boom Clap,0.659,0.9109999999999999,58,2014
['Kevin Gates'],Perfect Imperfection,0.7390000000000001,0.769,57,2014
['Kevin Gates'],Wassup with It,0.457,0.8240000000000001,55,2014
['James Bay'],Need The Sun To Break,0.537,0.485,55,2014
['Years & Years'],Real - Radio Edit,0.755,0.623,1,2014
['Kevin Gates'],John Gotti,0.564,0.5670000000000001,54,2014
['Nicki Minaj'],Anaconda,0.9640000000000001,0.605,65,2014
"['Nicki Minaj', 'Drake', 'Lil Wayne']",Truffle Butter,0.89,0.667,64,2014
['James Bay'],Hold Back The River,0.715,0.715,62,2014
"['Kevin Gates', 'August Alsina']",I Don't Get Tired (#IDGT) (feat. August Alsina),0.49200000000000005,0.698,64,2014
['Kevin Gates'],Out the Mud,0.8540000000000001,0.7090000000000001,59,2014
['Nicki Minaj'],Pills N Potions,0.391,0.604,61,2014
['Nicki Minaj'],The Night Is Still Young,0.6559999999999999,0.6920000000000001,63,2014
['2000 And One'],Fused - Original Mix,0.799,0.8859999999999999,0,2014
"['Marco Asoleda', 'Divai']",Fusion 01 - Perc 2009 Rework,0.727,0.875,0,2014
['Various Artists'],New Years Eve Dance Anthems - Continuous DJ Mix 2,0.7120000000000001,0.875,0,2014
['Various Artists'],New Years Eve Dance Party - Continuous DJ Mix 1,0.764,0.8490000000000001,0,2014
['Ryan Caraveo'],Paradise,0.7170000000000001,0.636,55,2014
"['Brennan Heart', 'Jonathan Mendelsohn']",Imaginary - XQ Edit,0.552,0.594,25,2014
['Code Black'],Pandora - Yearmix Edit,0.425,0.922,25,2014
"['Dimitri Vegas & Like Mike', 'Wolfpack', 'Brennan Heart']",Ocarina (Brennan Heart Remix) - Edit,0.26,0.972,36,2014
"['Code Black', 'Atmozfears']",Starting Over - Radio Edit,0.562,0.945,20,2014
"['Toneshifterz', 'Zuri Akoko']",What We Live For - Edit,0.5429999999999999,0.9229999999999999,11,2014
"['Code Black', 'Brennan Heart', 'Audiotricz']",Tonight Will Never Die - Audiotricz Remix Edit,0.547,0.826,33,2014
['Outbreak'],#Bassface - Edit,0.27399999999999997,0.8009999999999999,20,2014
['Toneshifterz'],I Want To Party - Edit,0.5660000000000001,0.9420000000000001,14,2014
"['Brennan Heart', 'Toneshifterz', 'DV8 Rocks!']",My Identity - Edit,0.589,0.92,15,2014
"['Aztech', 'Nikkita']",The Tribe (2014 Mix) - Radio Edit,0.51,0.968,9,2014
"['Code Black', 'Atmozfears']",Accelerate (Official XXlerator Anthem 2014) - Special Edit,0.489,0.97,26,2014
"['Toneshifterz', 'John Harris']",How Could It Be - Edit,0.5579999999999999,0.938,16,2014
"['Kajis', 'JJ Grant']",60 Million Years - Jj Grant Remix,0.746,0.637,0,2014
"['Common', 'John Legend']",Glory (From the Motion Picture Selma),0.5670000000000001,0.5870000000000001,58,2014
['Miranda B.'],Dark Horse - New Years Eve Video Edit,0.5429999999999999,0.624,0,2014
['DJ Hildegard'],New Year,0.763,0.5920000000000001,0,2014
['J. Cole'],Note to Self,0.657,0.455,55,2014
['J. Cole'],Intro,0.435,0.268,57,2014
"['Tony Bennett', 'Lady Gaga']",Winter Wonderland,0.604,0.49700000000000005,64,2014
['J. Cole'],Love Yourz,0.502,0.623,71,2014
['J. Cole'],Apparently,0.8,0.5429999999999999,68,2014
['J. Cole'],A Tale of 2 Citiez,0.5589999999999999,0.556,68,2014
['J. Cole'],03' Adolescence,0.519,0.809,63,2014
['J. Cole'],G.O.M.D.,0.89,0.39299999999999996,73,2014
['J. Cole'],No Role Modelz,0.6920000000000001,0.521,84,2014
['J. Cole'],Fire Squad,0.516,0.738,66,2014
['J. Cole'],January 28th,0.478,0.546,63,2014
['Lane 8'],Every Night - Original Mix,0.718,0.6729999999999999,7,2014
"['Jetlag', 'Esther', 'Martin Roth']",Walk With Me - Martin Roth Remix,0.828,0.564,6,2014
"['Jetlag', 'Esther', 'Martin Roth']",Walk With Me - Martin Roth Remix,0.828,0.564,6,2014
"['Thomas Schwartz', 'Fausto Fanizza']",You Would - Original Mix,0.8240000000000001,0.475,2,2014
['E-40'],Choices (Yup),0.892,0.607,58,2014
['16BL'],Deep In My Soul - Original Mix,0.8590000000000001,0.44,2,2014
['J. Cole'],Hello,0.598,0.7,58,2014
"['JAY-Z', 'Kanye West']",Ni**as In Paris,0.757,0.882,58,2014
['J. Cole'],Wet Dreamz,0.517,0.705,79,2014
['J. Cole'],St. Tropez,0.649,0.541,59,2014
['Carrie Underwood'],Something in the Water,0.451,0.893,56,2014
"['Vincenzo', 'Cari Golden']",Around The Sun,0.74,0.485,2,2014
['2NE1'],I Am The Best,0.8190000000000001,0.8440000000000001,64,2014
['16BL'],From Far Away - Original Mix,0.754,0.601,2,2014
['Cubicolor'],New Roads - Original Mix,0.807,0.547,0,2014
['Meramek'],Bounce - Original Mix,0.809,0.9109999999999999,1,2014
"['Choir Of Young Believers', 'Lane 8', 'Jody Wisternoff', 'James Grant']","Hollow Talk - Lane8, Jody Wisternoff & James Grant Remix",0.69,0.53,14,2014
['Beckwith'],Anandia - Original Mix,0.763,0.5870000000000001,1,2014
['DJ X-Change'],New Years Eve Ultimate Countdown 2015 Female Voice - Epic DJ Tools,0.5429999999999999,0.35100000000000003,0,2014
['DJ X-Change'],New Years Eve Ultimate Countdown 2015 Male Voice - Epic DJ Tools,0.483,0.424,0,2014
['Aout6'],Don't Care - The Sneekers Remix,0.804,0.9540000000000001,0,2014
['Kandy Flow Beatz'],Da Beat Goes Like - Kabz NH-T Remix,0.9079999999999999,0.447,0,2014
['Marcus Hype'],Latin Piano - Original Mix,0.596,0.995,0,2014
['Mini K'],Zion - Full Moon Mix,0.75,0.687,0,2014
['Pure Damage'],Back To The Disco - Original Mix,0.875,0.6940000000000001,0,2014
['After8'],Yeah! - Original Mix,0.733,0.851,0,2014
['Paul Jacobson'],Run The Show - Original Mix,0.639,0.8170000000000001,0,2014
['Next Door But One'],Positive Thinking - Paul Jacobson Remix,0.659,0.816,0,2014
['DJ Furax'],Big Orgus - 2003,0.836,0.81,23,2014
['Paul Jacobson'],Dreaming - After8 Remix,0.69,0.9129999999999999,0,2014
['OMAIR'],F-7 - Original Mix,0.815,0.955,0,2014
"['Rhythm Rockerz', 'Ann Bailey']",4 O'Clock - Rhythm Rockerz Festival Mix,0.631,0.889,0,2014
"['Last 3 Digits', 'Sophie Dee']",Satellite - Over & Out Remix,0.6990000000000001,0.731,0,2014
"['Nate Metro', 'Avonlea']",Don't Go - Reepr Remix,0.929,0.763,0,2014
"['Twisted Bitz', 'MC Freeflow']",Cant Shake This - Jo Kira Remix,0.741,0.9620000000000001,0,2014
"['Franee', 'Karen Danzig']",When Love Comes Tumbling Down - After8 Remix,0.5539999999999999,0.899,0,2014
"['Royal K', 'Remy D']",Cracker Jack - Filthy Rehab Remix,0.8690000000000001,0.34700000000000003,0,2014
['Ryan R'],Atomic - Original Mix,0.71,0.767,0,2014
['After8'],Wicked & Wild - Original Mix,0.6509999999999999,0.95,0,2014
['Massai One'],Gotama - Original Mix,0.5329999999999999,0.925,0,2014
['Rhythm Rockerz'],Go - Original Mix,0.5529999999999999,0.985,0,2014
['Marcus Gauntlett'],Rock This Place - Original Mix,0.8909999999999999,0.635,0,2014
['Twisted Bitz'],Put Your Hands Up - Original Mix,0.721,0.899,0,2014
"['Squachek', 'LadyGirl', 'Chuck']",Pour Up - Twisted Bitz Remix,0.753,0.961,0,2014
"['Blanco', 'Baj']",Apocalypse - Original Mix,0.47200000000000003,0.7170000000000001,0,2014
"['Paul Jacobson', 'S-J']",I Love You Stop - The Riberaz Remix,0.664,0.851,0,2014
['Whack Flava'],Get Down - Original Mix,0.883,0.773,0,2014
['Dirty T'],Yo DJ Pump This Party - Original Mix,0.73,0.945,0,2014
['Paul Jacobson'],R U Ready - Original Mix,0.6890000000000001,0.951,0,2014
['Paul Jacobson'],R U Ready - Original Mix,0.6890000000000001,0.951,0,2014
['Midge'],Have You Ever - Original Mix,0.797,0.7709999999999999,0,2014
"['Midge', 'Flapjack']",We're Never Supposed To Win - Original Mix,0.71,0.907,0,2014
"['Dirty T', 'Retro Kid']",Bubble Bobble - Original Mix,0.795,0.9259999999999999,0,2014
['Twisted Groove'],Accelerator - Mini K Remix,0.7440000000000001,0.688,0,2014
['Chris Lovers'],Do You Like Bass - Dirty T Remix,0.701,0.968,0,2014
['Steve Bonham'],It - Original Mix,0.716,0.985,0,2014
['MC Freeflow'],Lose Yourself - Reepr Remix,0.636,0.64,0,2014
['Nathan Hadley'],Oh - Original Mix,0.877,0.71,0,2014
['The Riberaz'],Wei - Original Mix,0.713,0.818,0,2014
['Dirty T'],Hey (Pump Up The House) - Original Mix,0.7240000000000001,0.9620000000000001,0,2014
"['Heavy Duty Brothers', 'MC Freeflow']",Good Life - Reepr Remix,0.7709999999999999,0.81,0,2014
['NekliFF'],Roundabout - Original Mix,0.723,0.537,0,2014
['Martin Landsky'],Reject - Martin Landsky 2014 Mix,0.8690000000000001,0.8759999999999999,0,2014
['Kraymer'],XXXplosive - Jacksaw Remix,0.841,0.8540000000000001,0,2014
['Nathan Hadley'],Monster - Original Mix,0.73,0.77,0,2014
['Heist'],Ambush 2014,0.5720000000000001,0.9990000000000001,0,2014
['Justin James (Chicago)'],Jack De La Cha Cha - Original Mix,0.73,0.721,0,2014
['Sam Smith'],Have Yourself A Merry Little Christmas,0.43799999999999994,0.17800000000000002,77,2014
['Kirabelle Frabotta'],What Are You Doing New Year's Eve?,0.563,0.22399999999999998,0,2014
"['Kev Wright', 'Jacek Zamojski', '2013']",Hypnotone - 2013 Remix,0.799,0.907,0,2014
"['Fanatico', 'Martin Eyerer']",2000 Light Years - Martin Eyerer Remix,0.764,0.871,0,2014
"['Fanatico', 'Martin Eyerer']",2000 Light Years - Martin Eyerer Remix,0.764,0.871,0,2014
['The Living Tombstone'],It's Been So Long,0.564,0.647,68,2014
['The Living Tombstone'],It's Been So Long,0.564,0.647,63,2014
['Armin van Buuren'],A State Of Trance [ASOT 692] - Tune Of The Year 2014: vote.astateoftrance.com,0.428,0.852,0,2014
['Armin van Buuren'],A State Of Trance [ASOT 692] - A State of Trance Year Mix 2014,0.434,0.882,0,2014
['Armin van Buuren'],A State Of Trance [ASOT 692] - Tune Of The Year 2014: Top 5 by Shamshod,0.302,0.865,0,2014
['OMFG'],Hello,0.8440000000000001,0.8640000000000001,64,2014
['Max Richter'],The Departure,0.384,0.0034100000000000003,61,2014
['BONES'],HDMI,0.713,0.29,68,2014
['Sound Library XL'],Water Pour,0.20800000000000002,0.996,58,2014
"['Omarion', 'Chris Brown', 'JhenÃ© Aiko']",Post to Be (feat. Chris Brown & Jhene Aiko),0.733,0.6759999999999999,71,2014
['Cartoon Rainbow'],Y. M. C. A.,0.627,0.877,31,2014
['WALK THE MOON'],Work This Body,0.42100000000000004,0.831,57,2014
['WALK THE MOON'],Shut Up and Dance,0.578,0.866,80,2014
['WALK THE MOON'],Shut Up and Dance,0.578,0.866,67,2014
"['Deorro', 'DyCy', 'Adrian Delgado']",Perdoname,0.855,0.856,60,2014
['The Karozma Orchestra'],My Only Wish This Year - Instrumental,0.762,0.5329999999999999,0,2014
['Sound Library XL'],Sleep Rain,0.0,0.000819,60,2014
"['Franz Schubert', 'Ryszard Groblewski', 'Katarzyna Jankowska']","Viola Sonata in A Minor, D. 821 ""Arpeggione"": I. Allegro moderato - Live Recording 2005",0.319,0.217,0,2014
"['Johannes Brahms', 'Quartet Melos']","String Quartet No. 1 in C Minor, Op. 51: IV. Allegro - Live Recording 1966",0.262,0.41700000000000004,0,2014
"['Richard Strauss', 'Annette Dasch', 'Katherine Dasch']","Befreit, Op. 39, No. 4. Wie sollten wir geheim sie halten, Op. 19, No. 4 - Live Recording 2000",0.255,0.147,0,2014
"['Franz Liszt', 'Istvan Vardai', 'Balazs FÃ¼lei']","La Lugubre Gondola, S. 200 - Live Recording 2008",0.14300000000000002,0.172,0,2014
"['Johannes Brahms', 'Lorenzo SoulÃ¨s', 'John Axelrod', ""L'Orchestre de la Suisse Romande""]","Piano Concerto No. 2 in B-Flat Major, Op. 83: II. Allegro appassionato - Live Recording 2012",0.312,0.272,0,2014
['Yoga Tribe'],Transparent Chime,0.221,0.168,9,2014
"['Ludwig van Beethoven', 'Louis Schwitzgebel-Wang', 'Jean-Bernard Pommier', ""L'Orchestre de la Suisse Romande""]","Piano Concerto No. 4 in G Major, Op. 58: III. Rondo. Vivace - Live Recording 2005",0.293,0.284,0,2014
"['Ludwig van Beethoven', 'Quartet HermÃ¨s']","Quartet No. 12 in E-Flat Major, Op. 127, I. Maestoso - Allegro - Live Recording 2011",0.26,0.25,0,2014
"['Ludwig van Beethoven', 'Armida Quartett']","Quartet No. 15 in A Minor, Op. 132: IV. Alla marcia, assai vivace - Live Recording 2011",0.321,0.312,0,2014
['Lenny Weber'],2000 Years Ago,0.634,0.327,0,2014
['Montana of 300'],Fuck Her Brains Out,0.741,0.861,53,2014
['Rampant Egos'],3000 Year Long Song,0.322,0.5539999999999999,0,2014
['Rampant Egos'],3000 Year Long Song,0.322,0.5539999999999999,0,2014
['The Walters'],I Love You So,0.578,0.669,69,2014
['The Walters'],Fancy Shoes,0.6890000000000001,0.368,56,2014
"['The Neighbourhood', 'French Montana']",#icanteven (feat. French Montana),0.359,0.625,60,2014
['C-Energized'],Party of the Year - C-NRG Remix,0.604,0.983,0,2014
['Glial Cell'],New Year,0.693,0.816,0,2014
['Glial Cell'],New Year,0.693,0.816,0,2014
['Napat Injaiuea'],à¸à¸²à¸¥à¹€à¸§à¸¥à¸²,0.649,0.48100000000000004,12,2014
['The Lights'],Y. M. C. A.,0.687,0.45399999999999996,24,2014
['Nilla Pizzi'],O mama mama - Remix 2014,0.985,0.522,0,2014
['Armin van Buuren'],A State Of Trance [ASOT 691] - A State Of Trance Year Mix 2014 - vote.astateoftrance.com,0.363,0.985,0,2014
['Parata'],à¸„à¸·à¸­à¹€à¸˜à¸­à¹€à¸—à¹ˆà¸²à¸™à¸±à¹‰à¸™,0.527,0.667,6,2014
['TheFatRat'],Xenogenesis,0.544,0.608,60,2014
['Armin van Buuren'],A State Of Trance [ASOT 691] - Tune Of The Year 2014 - Top 5 by Jacky Liang,0.342,0.917,0,2014
['Caterina Valente'],Itsy Bitsy Teenie Weenie Honoluu Strand Bikini - Remix 2013,0.815,0.648,0,2014
['Necro Facility'],Last Breath - Cthulhu Demo Mix,0.591,0.97,1,2014
['Angst'],RÃ¤dda Barn (Dansar BÃ¤st),0.684,0.993,1,2014
['Mr Jones Machine'],Eyes of Anger,0.59,0.7240000000000001,0,2014
['Vanligt Folk'],Vitt Skum,0.65,0.9279999999999999,0,2014
['DELAYKLINIKEN'],Wishes,0.725,0.529,1,2014
['Wulfband'],Was FÃ¼r Ein Fest!,0.502,0.987,3,2014
['Agent Side Grinder'],This Is Us,0.5710000000000001,0.914,0,2014
['System'],Under Surveillance,0.64,0.726,0,2014
['Nexus Kenosis'],Arcus Pluvius Nigrum,0.6940000000000001,0.946,0,2014
['8kHz Mono'],The Game,0.195,0.982,5,2014
"['Xenturion Prime', 'Zone Tripper']",Voyagers - Infinity Remix by Zone Tripper,0.462,0.981,1,2014
['Cryo'],Zero-G - Live Evolved Version,0.6829999999999999,0.722,0,2014
['Children Within'],Architecture of Love,0.5660000000000001,0.88,1,2014
['Jillian Edwards'],All My Christmases,0.6759999999999999,0.385,61,2014
['Elevation Worship'],Unstoppable God,0.54,0.889,54,2014
['Fiona Apple'],Frosty the Snowman,0.764,0.162,63,2014
"['Barenaked Ladies', 'Sarah McLachlan']",God Rest Ye Merry Gentlemen / We Three Kings,0.5710000000000001,0.552,52,2014
"['BeyoncÃ©', 'Frank Ocean']",Superpower (feat. Frank Ocean),0.527,0.33399999999999996,57,2014
['Jaywon'],This Year (Odun Yi),0.638,0.51,0,2014
['BeyoncÃ©'],Rocket,0.495,0.40299999999999997,60,2014
"['James Newton Howard', 'Jennifer Lawrence']",The Hanging Tree,0.213,0.0743,64,2014
['Meghan Trainor'],I'll Be Home,0.556,0.361,58,2014
"['BeyoncÃ©', 'Nicki Minaj']",Flawless Remix (feat. Nicki Minaj),0.639,0.659,67,2014
"['David Guetta', 'Afrojack', 'Bebe Rexha', 'Nicki Minaj']","Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",0.596,0.73,61,2014
['BeyoncÃ©'],XO,0.47,0.792,64,2014
"['BeyoncÃ©', 'JAY-Z', 'Kanye West']",Drunk in Love Remix (feat. Jay-Z & Kanye West),0.514,0.763,60,2014
"['BeyoncÃ©', 'Chimamanda Ngozi Adichie']",***Flawless (feat. Chimamanda Ngozi Adichie),0.47600000000000003,0.688,60,2014
"['BeyoncÃ©', 'Drake']",Mine (feat. Drake),0.557,0.428,58,2014
['Selena Gomez'],The Heart Wants What It Wants,0.616,0.789,61,2014
['Ariana Grande'],Santa Tell Me,0.525,0.621,88,2014
['BeyoncÃ©'],Partition,0.41200000000000003,0.441,70,2014
['BeyoncÃ©'],11-Jul,0.747,0.705,71,2014
"['BeyoncÃ©', 'JAY-Z']",Drunk in Love (feat. Jay-Z),0.589,0.621,70,2014
['Eminem'],Lose Yourself,0.6890000000000001,0.735,64,2014
['BeyoncÃ©'],Pretty Hurts,0.512,0.625,65,2014
"['David Guetta', 'Showtek', 'VASSY']",Bad (feat. Vassy) - Radio Edit,0.614,0.972,50,2014
"['deadmau5', 'Michael Woods']",Strobe - Michael Woods 2014 Remix,0.49,0.945,23,2014
['Labrinth'],Jealous,0.439,0.153,78,2014
['Dan Sacks'],I Love Her,0.5329999999999999,0.16,0,2014
['Dan Sacks'],Supernova,0.442,0.23,0,2014
['Dan Sacks'],What You Need,0.36200000000000004,0.326,0,2014
['Dan Sacks'],A Song for My Son,0.568,0.29,0,2014
['Dan Sacks'],Christian Girl,0.491,0.272,0,2014
['Dan Sacks'],Same Team,0.6,0.495,0,2014
['Dan Sacks'],"1, 2, 3, 4",0.318,0.526,0,2014
['Dan Sacks'],The One That Got Away,0.5720000000000001,0.298,0,2014
['Dan Sacks'],A Song for My Ex-Girlfriends,0.474,0.522,0,2014
['Dan Sacks'],My New Love,0.397,0.423,0,2014
['Dan Sacks'],8/4/1996,0.442,0.672,0,2014
['Dan Sacks'],"Portland, Oregon",0.563,0.5539999999999999,0,2014
['Dan Sacks'],You,0.7240000000000001,0.633,0,2014
['Dan Sacks'],Queen of the Desert,0.318,0.625,0,2014
"['Tyga', 'Dash D Cadet']",Bouncin On My D*ck,0.9259999999999999,0.474,60,2014
['Dan Sacks'],"Sweet, Sweet, Sweet",0.38799999999999996,0.7040000000000001,0,2014
['Dan Sacks'],The Devil Returned My Soul,0.26,0.43200000000000005,0,2014
"['Pepe Aguilar', 'Melissa Robles', 'Ãngela Aguilar', 'La Marisoul']",Prometiste,0.602,0.39799999999999996,73,2014
"['Usher', 'Juicy J']",I Don't Mind (feat. Juicy J),0.87,0.46399999999999997,68,2014
"['Pitbull', 'Chris Brown']",Fun (feat. Chris Brown),0.7929999999999999,0.774,60,2014
"['Pitbull', 'Ne-Yo']",Time of Our Lives,0.72,0.802,78,2014
"['Pitbull', 'John Ryan']",Fireball (feat. John Ryan),0.7609999999999999,0.9329999999999999,68,2014
['Sunbeam Sound Machine'],In Your Arms,0.332,0.7859999999999999,56,2014
"['Pitbull', 'Jennifer Lopez', 'Claudia Leitte']",We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song] (feat. Jennifer Lopez & Claudia Leitte),0.5920000000000001,0.935,65,2014
"['Severin Borer', 'Felipe Puertes', 'Boy Next Door']",Earth Wind and Fire - Boy Next Door's Fifteen Years Ago Remix,0.865,0.972,1,2014
['Tenzin vs Mr Wilson'],35 Years Away,0.7070000000000001,0.759,0,2014
"['Sting', 'Mark Elridge', 'Barry Gibb', 'Robin Gibb', 'Maurice Gibb', 'John Drange', 'Sammy Cahn', 'Conspirare', 'Craig Hella Johnson']",1000 Years / How Deep is Your Love / All the Way - Live,0.293,0.193,2,2014
['Armin van Buuren'],A State Of Trance [ASOT 690] - Update Tune Of The Year 2014 voting: vote.astateoftrance.com,0.36,0.875,0,2014
['Armin van Buuren'],A State Of Trance [ASOT 690] - Tune Of The Year 2014 - Top 5 by Oliver: vote.astateoftrance.com,0.5670000000000001,0.9790000000000001,0,2014
['CRIS CROCHEMORE'],25 Years - Live,0.539,0.9390000000000001,0,2014
['Goose house'],å…‰ã‚‹ãªã‚‰,0.491,0.879,59,2014
['Alan Walker'],Fade,0.7909999999999999,0.652,65,2014
['Hans Zimmer'],Cornfield Chase,0.18,0.226,68,2014
['Angel Olsen'],Unfucktheworld,0.545,0.128,57,2014
['Hans Zimmer'],Day One,0.311,0.0173,64,2014
['Hans Zimmer'],Mountains,0.304,0.0585,61,2014
"['Baby Bash', 'Z-Ro', 'Berner', 'Baby E']",Light Up Light Up,0.6659999999999999,0.46799999999999997,53,2014
['One Direction'],Night Changes,0.672,0.52,82,2014
['One Direction'],Once in a Lifetime,0.5539999999999999,0.335,63,2014
['Lukas Nelson and Promise of the Real'],Find Yourself,0.784,0.384,55,2014
['One Direction'],Spaces,0.425,0.6679999999999999,64,2014
['One Direction'],Fool's Gold,0.515,0.773,71,2014
['One Direction'],18,0.6809999999999999,0.5820000000000001,80,2014
['K CAMP'],Slum Anthem,0.759,0.45399999999999996,61,2014
['One Direction'],Stockholm Syndrome,0.6779999999999999,0.9329999999999999,71,2014
['One Direction'],Girl Almighty,0.508,0.895,68,2014
['One Direction'],No Control,0.5579999999999999,0.9159999999999999,73,2014
['One Direction'],Clouds,0.395,0.9059999999999999,64,2014
['Wilco'],One Hundred Years from Now,0.546,0.924,12,2014
['One Direction'],Fireproof,0.6809999999999999,0.8640000000000001,70,2014
['One Direction'],Steal My Girl,0.536,0.768,78,2014
['One Direction'],Act My Age,0.495,0.883,65,2014
['One Direction'],Ready to Run,0.524,0.831,68,2014
['TV On The Radio'],Happy Idiot,0.617,0.948,59,2014
['One Direction'],Illusion,0.562,0.703,61,2014
['One Direction'],Change Your Ticket,0.59,0.9440000000000001,62,2014
['One Direction'],Where Do Broken Hearts Go,0.565,0.862,69,2014
['Ariel Pink'],Lipstick,0.47200000000000003,0.8320000000000001,58,2014
['Jorma Kaukonen'],99 Year Blues - Live,0.322,0.495,0,2014
['Good Morning'],Warned You,0.535,0.209,63,2014
['James Morrison'],'Jazz Musicians For Many Years Had Been Interested In Latin Music...' - Live,0.6809999999999999,0.17800000000000002,1,2014
['Good Morning'],Don't Come Home Today,0.382,0.738,55,2014
['In This Moment'],Sex Metal Barbie,0.5329999999999999,0.935,54,2014
['In This Moment'],Big Bad Wolf,0.552,0.987,55,2014
['In This Moment'],Sick Like Me,0.44799999999999995,0.982,54,2014
['Armin van Buuren'],A State Of Trance [ASOT 689] - Update Tune Of The Year 2014 voting: vote.astateoftrance.com,0.382,0.925,0,2014
"['Slow Magic', 'ODESZA']",Waited 4 U - ODESZA Remix,0.605,0.67,54,2014
['Jon McLaughlin'],Away in a Manger,0.418,0.243,59,2014
['Ha*Ash'],Lo AprendÃ­ de Ti - HA-ASH Primera Fila - Hecho Realidad [En Vivo],0.546,0.581,68,2014
['Mitski'],Last Words of a Shooting Star,0.39299999999999996,0.16699999999999998,60,2014
"['WILLOW', 'SZA']",9,0.597,0.495,65,2014
"['Omarion', 'Chris Brown', 'JhenÃ© Aiko']",Post to Be (feat. Chris Brown & Jhene Aiko),0.733,0.6759999999999999,58,2014
['Mitski'],I Will,0.5329999999999999,0.306,53,2014
['Mitski'],Francis Forever,0.535,0.44799999999999995,67,2014
['Suite'],A Hundred Years to Live,0.445,0.8859999999999999,0,2014
['Mitski'],First Love / Late Spring,0.44299999999999995,0.545,65,2014
['Mitski'],Townie,0.31,0.884,55,2014
['Johnnyswim'],The Christmas Waltz,0.562,0.268,60,2014
['Andrew Peterson'],Faith To Be Strong - 2014 Version,0.406,0.295,18,2014
['Andrew Peterson'],Faith To Be Strong - 2014 Version,0.406,0.295,12,2014
['Johnnyswim'],What Are You Doing New Years Eve,0.456,0.285,59,2014
['Andrew Peterson'],Holy Is The Lord - 2014 Version,0.509,0.22399999999999998,18,2014
['Andrew Peterson'],Holy Is The Lord - 2014 Version,0.509,0.22399999999999998,12,2014
['Andrew Peterson'],The Silence Of God - 2014 Version,0.595,0.23800000000000002,20,2014
['Andrew Peterson'],The Silence Of God - 2014 Version,0.595,0.23800000000000002,13,2014
['Andrew Peterson'],Isn't It Love - 2014 Version,0.49200000000000005,0.33799999999999997,35,2014
['Andrew Peterson'],Isn't It Love - 2014 Version,0.49200000000000005,0.33799999999999997,11,2014
['T.Russ'],Brockweir,0.7759999999999999,0.9640000000000001,16,2014
['T.Russ'],Brockweir,0.7759999999999999,0.9640000000000001,16,2014
['Andrew Peterson'],No More Faith - 2014 Version,0.379,0.612,17,2014
['Andrew Peterson'],No More Faith - 2014 Version,0.379,0.612,10,2014
['Andrew Peterson'],"High Noon - Live, 2014 Version",0.498,0.7490000000000001,13,2014
['Andrew Peterson'],"High Noon - Live, 2014 Version",0.498,0.7490000000000001,8,2014
['Andrew Peterson'],Nothing To Say - 2014 Version,0.523,0.5429999999999999,13,2014
['Andrew Peterson'],Nothing To Say - 2014 Version,0.523,0.5429999999999999,9,2014
['O.T. Genasis'],CoCo,0.8859999999999999,0.628,62,2014
['Andrew Peterson'],After The Last Tear Falls - 2014 Version,0.579,0.68,25,2014
['Andrew Peterson'],After The Last Tear Falls - 2014 Version,0.579,0.68,13,2014
['Dominic Kirwan'],Noreen Bawn - 2014 Version,0.5329999999999999,0.259,2,2014
['Chris'],It's the Most Wonderful Time of the Year,0.207,0.7190000000000001,0,2014
['Guido Block'],Do They Know It's Christmas?,0.6459999999999999,0.5820000000000001,15,2014
"['Alexandre Desplat', 'London Symphony Orchestra']",The Imitation Game,0.318,0.308,62,2014
"['Aaron Smith', 'Krono', 'Luvli']",Dancin (feat. Luvli) - Krono Remix,0.72,0.741,80,2014
['Azealia Banks'],Luxury,0.6890000000000001,0.91,63,2014
"['Azealia Banks', 'Lazy Jay']",212,0.846,0.772,67,2014
"['The Texas Tenors', 'John Hagen']",He Looked Beyond My Fault (Live 2014) [feat. John Hagen],0.221,0.249,7,2014
['The Texas Tenors'],Danny Boy (Live 2014),0.28600000000000003,0.0856,9,2014
['The Texas Tenors'],O Sole Mio (Live 2014),0.259,0.385,8,2014
['The Texas Tenors'],Wild Horses (Live 2014),0.292,0.188,3,2014
['The Texas Tenors'],Unchained Melody (Live 2014),0.266,0.40399999999999997,8,2014
['The Texas Tenors'],Because (Live 2014),0.221,0.348,3,2014
['The Texas Tenors'],Somewhere (Live 2014),0.20600000000000002,0.462,4,2014
